date,ticker,action,price,quantity,commission,strategy,zscore
1152,LEVI,SELL,16.91,1,0.008455,mean_reversion,-1324.0317710636414
1152,MHK,BUY,139.1,1,0.06955,mean_reversion,-1324.0317710636414
1153,LEVI,BUY,17.46,1,0.00873,mean_reversion,-1315.004565795492
1153,MHK,SELL,138.83,1,0.069415,mean_reversion,-1315.004565795492
1154,LEVI,SELL,18.18,1,0.00909,mean_reversion,-1279.5562719376362
1154,MHK,BUY,136.33,1,0.068165,mean_reversion,-1279.5562719376362
1155,LEVI,SELL,18.4,1,0.0092,trend_following,-1267.2264305957733
1155,MHK,BUY,135.43,1,0.06771500000000001,trend_following,-1267.2264305957733
1156,LEVI,BUY,18.49,1,0.009245,trend_following,-1219.88864687255
1156,MHK,SELL,131.22,1,0.06561,trend_following,-1219.88864687255
1157,LEVI,BUY,17.9,1,0.00895,mean_reversion,-1228.6956764024521
1157,MHK,SELL,131.43,1,0.06571500000000001,mean_reversion,-1228.6956764024521
1158,LEVI,SELL,17.77,1,0.008885,mean_reversion,-1224.5123373757485
1158,MHK,BUY,130.92,1,0.06545999999999999,mean_reversion,-1224.5123373757485
1159,LEVI,BUY,17.55,1,0.008775,mean_reversion,-1249.5022836668456
1159,MHK,SELL,132.97,1,0.066485,mean_reversion,-1249.5022836668456
1160,LEVI,SELL,17.43,1,0.008715,mean_reversion,-1228.8057642715758
1160,MHK,BUY,130.97,1,0.065485,mean_reversion,-1228.8057642715758
1161,LEVI,BUY,17.48,1,0.008740000000000001,mean_reversion,-1228.255324925957
1161,MHK,SELL,130.97,1,0.065485,mean_reversion,-1228.255324925957
1162,LEVI,SELL,17.37,1,0.008685,mean_reversion,-1223.1912829462633
1162,MHK,BUY,130.4,1,0.06520000000000001,mean_reversion,-1223.1912829462633
1163,LEVI,BUY,17.3,1,0.00865,mean_reversion,-1195.449139927072
1163,MHK,SELL,127.81,1,0.063905,mean_reversion,-1195.449139927072
1164,LEVI,SELL,17.11,1,0.008555,mean_reversion,-1185.4311438368084
1164,MHK,BUY,126.71,1,0.063355,mean_reversion,-1185.4311438368084
1165,LEVI,BUY,16.95,1,0.008475,mean_reversion,-1165.06488804891
1165,MHK,SELL,124.7,1,0.06235,mean_reversion,-1165.06488804891
1166,LEVI,SELL,16.79,1,0.008395,mean_reversion,-1105.1770872455763
1166,MHK,BUY,119.1,1,0.05955,mean_reversion,-1105.1770872455763
1167,LEVI,BUY,16.65,1,0.008324999999999999,mean_reversion,-1081.6182832530883
1167,MHK,SELL,116.82,1,0.05841,mean_reversion,-1081.6182832530883
1168,LEVI,SELL,17.39,1,0.008695,mean_reversion,-1099.2323423128923
1168,MHK,BUY,119.16,1,0.05958,mean_reversion,-1099.2323423128923
1169,LEVI,BUY,17.32,1,0.008660000000000001,mean_reversion,-1104.1862964234622
1169,MHK,SELL,119.54,1,0.059770000000000004,mean_reversion,-1104.1862964234622
1170,LEVI,SELL,17.44,1,0.00872,mean_reversion,-1110.0209534870223
1170,MHK,BUY,120.19,1,0.060095,mean_reversion,-1110.0209534870223
1171,LEVI,BUY,17.47,1,0.008735,mean_reversion,-1103.8560328160909
1171,MHK,SELL,119.66,1,0.05983,mean_reversion,-1103.8560328160909
1172,LEVI,SELL,17.19,1,0.008595,mean_reversion,-1097.6911121451594
1172,MHK,BUY,118.82,1,0.05941,mean_reversion,-1097.6911121451594
1173,LEVI,BUY,17.34,1,0.00867,mean_reversion,-1092.9573337728373
1173,MHK,SELL,118.54,1,0.05927,mean_reversion,-1092.9573337728373
1174,LEVI,SELL,17.3,1,0.00865,mean_reversion,-1099.892869527635
1174,MHK,BUY,119.13,1,0.059565,mean_reversion,-1099.892869527635
1175,LEVI,BUY,17.42,1,0.00871,mean_reversion,-1063.233609109418
1175,MHK,SELL,115.92,1,0.057960000000000005,mean_reversion,-1063.233609109418
1176,LEVI,SELL,17.61,1,0.008805,mean_reversion,-1076.444153404271
1176,MHK,BUY,117.31,1,0.058655000000000006,mean_reversion,-1076.444153404271
1177,LEVI,BUY,17.84,1,0.00892,mean_reversion,-1078.9761743941176
1177,MHK,SELL,117.77,1,0.058885,mean_reversion,-1078.9761743941176
1178,LEVI,SELL,17.67,1,0.008835,mean_reversion,-1075.6735383204045
1178,MHK,BUY,117.3,1,0.05865,mean_reversion,-1075.6735383204045
1179,LEVI,BUY,17.86,1,0.00893,mean_reversion,-1084.3704799811828
1179,MHK,SELL,118.28,1,0.059140000000000005,mean_reversion,-1084.3704799811828
1180,LEVI,SELL,17.62,1,0.00881,mean_reversion,-1084.9209193268016
1180,MHK,BUY,118.09,1,0.059045,mean_reversion,-1084.9209193268016
1181,LEVI,BUY,17.42,1,0.00871,mean_reversion,-1139.7446781504418
1181,MHK,SELL,122.87,1,0.061435000000000003,mean_reversion,-1139.7446781504418
1182,LEVI,SELL,17.39,1,0.008695,mean_reversion,-1169.908754290356
1182,MHK,BUY,125.58,1,0.06279,mean_reversion,-1169.908754290356
1183,LEVI,BUY,17.72,1,0.00886,mean_reversion,-1215.5952199767228
1183,MHK,SELL,130.06,1,0.06503,mean_reversion,-1215.5952199767228
1184,LEVI,SELL,17.57,1,0.008785000000000001,mean_reversion,-1202.4947635509936
1184,MHK,BUY,128.72,1,0.06436,mean_reversion,-1202.4947635509936
1185,LEVI,SELL,17.37,1,0.008685,trend_following,-1210.7513537352768
1185,MHK,BUY,129.27,1,0.06463500000000001,trend_following,-1210.7513537352768
1186,LEVI,BUY,17.54,1,0.00877,trend_following,-1224.1820737683774
1186,MHK,SELL,130.66,1,0.06533,trend_following,-1224.1820737683774
1187,LEVI,BUY,17.62,1,0.00881,mean_reversion,-1222.861019338892
1187,MHK,SELL,130.62,1,0.06531,mean_reversion,-1222.861019338892
1188,LEVI,SELL,17.81,1,0.008905,mean_reversion,-1223.0811950771397
1188,MHK,BUY,130.83,1,0.065415,mean_reversion,-1223.0811950771397
1189,LEVI,BUY,17.54,1,0.00877,mean_reversion,-1165.1749759180336
1189,MHK,SELL,125.3,1,0.06265,mean_reversion,-1165.1749759180336
1190,LEVI,SELL,18.24,1,0.00912,mean_reversion,-1186.8622861354174
1190,MHK,BUY,127.97,1,0.063985,mean_reversion,-1186.8622861354174
1191,LEVI,BUY,18.36,1,0.00918,mean_reversion,-1146.1297745596207
1191,MHK,SELL,124.39,1,0.062195,mean_reversion,-1146.1297745596207
1192,LEVI,SELL,18.09,1,0.009045000000000001,mean_reversion,-1166.1657667401478
