date,ticker,action,price,quantity,commission,cash,portfolio_value
1167,MHK,SELL,116.82,1,0.05841,100102.71339999996,100004.08339999997
1168,LEVI,SELL,17.39,1,0.008695,100120.09470499997,100005.08470499997
1168,MHK,BUY,119.16,1,0.05958,100000.87512499996,100000.87512499996
1169,LEVI,BUY,17.32,1,0.008660000000000001,99983.54646499996,99999.92646499997
1169,MHK,SELL,119.54,1,0.059770000000000004,100103.02669499996,100004.39669499997
1170,LEVI,SELL,17.44,1,0.00872,100120.45797499997,100005.44797499997
1170,MHK,BUY,120.19,1,0.060095,100000.20787999997,100000.20787999997
1171,LEVI,BUY,17.47,1,0.008735,99982.72914499998,99999.10914499998
1171,MHK,SELL,119.66,1,0.05983,100102.32931499998,100003.69931499999
1172,LEVI,SELL,17.19,1,0.008595,100119.51071999998,100004.50071999998
1172,MHK,BUY,118.82,1,0.05941,100000.63130999998,100000.63130999998
1173,LEVI,BUY,17.34,1,0.00867,99983.28263999998,99999.66263999998
1173,MHK,SELL,118.54,1,0.05927,100101.76336999997,100003.13336999998
1174,LEVI,SELL,17.3,1,0.00865,100119.05471999997,100004.04471999998
1174,MHK,BUY,119.13,1,0.059565,99999.86515499998,99999.86515499998
1175,LEVI,BUY,17.42,1,0.00871,99982.43644499998,99998.81644499999
1175,MHK,SELL,115.92,1,0.057960000000000005,100098.29848499999,99999.668485
1176,LEVI,SELL,17.61,1,0.008805,100115.89967999999,100000.88968
1176,MHK,BUY,117.31,1,0.058655000000000006,99998.53102499999,99998.53102499999
1177,LEVI,BUY,17.84,1,0.00892,99980.68210499999,99997.06210499999
1177,MHK,SELL,117.77,1,0.058885,100098.39321999998,99999.76322
1178,LEVI,SELL,17.67,1,0.008835,100116.05438499998,100001.04438499999
1178,MHK,BUY,117.3,1,0.05865,99998.69573499999,99998.69573499999
1179,LEVI,BUY,17.86,1,0.00893,99980.82680499999,99997.206805
1179,MHK,SELL,118.28,1,0.059140000000000005,100099.04766499999,100000.417665
1180,LEVI,SELL,17.62,1,0.00881,100116.65885499999,100001.64885499999
1180,MHK,BUY,118.09,1,0.059045,99998.50980999999,99998.50980999999
1181,LEVI,BUY,17.42,1,0.00871,99981.0811,99997.4611
1181,MHK,SELL,122.87,1,0.061435000000000003,100103.889665,100005.259665
